price,numBedrooms,numBathrooms,propertySize,total_images,longitude,latitude,ber_rating,featuredLevel,propertyType,sellerType
1100000,4,3,155.0,8.0,-8.230189727673917,51.822110570229455,A2,featured,Detached,UNBRANDED_AGENT
190000,3,2,116.0,7.0,-8.230189727673917,51.822110570229455,A2,featured,Semi-D,UNBRANDED_AGENT
195000,5,5,232.0,9.0,-6.671450642533415,53.65757898095529,A3,featured,Detached,UNBRANDED_AGENT
1100000,8,7,285.0,1.0,-6.258846636774024,53.63381719441863,A3,featured,Terrace,UNBRANDED_AGENT
450000,4,3,204.0,1.0,-6.258846636774024,53.63381719441863,A3,featured,Detached,UNBRANDED_AGENT
775000,4,3,376.0,3.0,-6.258846636774024,53.63381719441863,A3,featured,Detached,UNBRANDED_AGENT
650000,13,13,557.0,25.0,-7.500182456737463,53.29158554363275,A3,featured,Detached,UNBRANDED_AGENT
159950,3,1,107.0,1.0,-7.500182456737463,53.29158554363275,A3,featured,Detached,UNBRANDED_AGENT
275000,5,2,166.0,4.0,-6.665098,53.394309,A3,featured,Bungalow,UNBRANDED_AGENT
725000,3,3,125.0,38.0,-6.562428,52.500951,D2,featured,Detached,BRANDED_AGENT
825000,2,2,133.0,13.0,-6.435613,53.355952,D2,featured,Apartment,BRANDED_AGENT
990000,2,2,126.0,1.0,-6.224562,53.340707,C2,featured,Apartment,BRANDED_AGENT
310000,2,2,370.0,17.0,-7.935038,53.424943,D1,featured,Apartment,BRANDED_AGENT
350000,3,3,78.0,15.0,-8.993666,52.845829,D2,featured,Duplex,BRANDED_AGENT
190000,2,1,56.0,51.0,-7.280706,52.691285,D1,featured,Townhouse,BRANDED_AGENT
385000,3,1,114.0,23.0,-6.174928,52.785153,A3,featured,Semi-D,BRANDED_AGENT
275000,5,2,132.0,12.0,-6.428725,53.40445,C3,featured,Detached,BRANDED_AGENT
1675000,4,3,250.0,10.0,-8.432602,51.889041,D2,featured,Detached,BRANDED_AGENT
289000,3,2,80.0,10.0,-6.291864,52.675808,G,featured,Semi-D,BRANDED_AGENT
309000,3,3,152.0,25.0,-6.226156,52.855627,D2,featured,Semi-D,BRANDED_AGENT
339000,4,3,63.0,11.0,-6.151186,53.418992,B3,featured,Semi-D,BRANDED_AGENT
355000,3,3,82.0,9.0,-6.247222,53.360181,E2,featured,Detached,BRANDED_AGENT
390000,4,3,80.0,20.0,-6.25713,53.3736,F,featured,Detached,BRANDED_AGENT
435000,5,4,68.0,11.0,-9.545595,53.799005,E1,featured,Detached,BRANDED_AGENT
310000,3,3,67.0,23.0,-6.648478,53.214318,E1,featured,Terrace,BRANDED_AGENT
315000,3,3,106.0,15.0,-6.717467,53.748634,C2,featured,End of Terrace,BRANDED_AGENT
330000,3,3,124.0,17.0,-8.432235,51.893579,C1,featured,Terrace,BRANDED_AGENT
365000,3,3,238.0,32.0,-6.718143,52.333723,B3,featured,Semi-D,BRANDED_AGENT
405000,4,3,104.0,17.0,-6.925249,52.13442,C3,featured,End of Terrace,BRANDED_AGENT
280000,3,3,110.0,16.0,-6.744128,54.119204,D2,featured,Terrace,UNBRANDED_AGENT
285000,3,2,136.0,19.0,-9.156896,54.055217,C3,featured,Semi-D,BRANDED_AGENT
345000,4,3,41.0,10.0,-6.295576,53.351311,E2,featured,Detached,BRANDED_AGENT
415000,3,3,98.0,17.0,-6.197141,53.612843,C1,featured,Semi-D,BRANDED_AGENT
415000,3,3,117.0,18.0,-6.251641,53.449862,A3,featured,Semi-D,BRANDED_AGENT
415000,3,3,99.0,5.0,-9.853672,52.096493,A3,featured,Semi-D,UNBRANDED_AGENT
525000,5,4,195.0,38.0,-9.87415,52.097305,C1,featured,Detached,UNBRANDED_AGENT
357500,3,3,200.0,24.0,-6.138543,53.447733,D2,featured,Semi-D,BRANDED_AGENT
150000,3,1,85.0,26.0,-6.249688,53.386771,E2,featured,Semi-D,BRANDED_AGENT
225000,3,1,94.0,17.0,-6.232078,53.472506,C2,featured,Detached,BRANDED_AGENT
220000,3,2,172.0,22.0,-6.446183,53.505635,C1,featured,Terrace,BRANDED_AGENT
265000,1,1,43.0,31.0,-7.256431,52.658123,C1,featured,Apartment,BRANDED_AGENT
495000,2,1,81.0,7.0,-6.311558,53.377162,C2,featured,Bungalow,BRANDED_AGENT
995000,7,2,290.0,14.0,-8.458712,51.883606,D2,featured,Semi-D,BRANDED_AGENT
365000,2,2,72.0,22.0,-6.234928,53.356553,G,featured,Apartment,BRANDED_AGENT
400000,5,3,231.0,5.0,-6.0597273527491495,53.10139926694944,A3,featured,Detached,UNBRANDED_AGENT
275000,4,1,125.0,0.0,-6.0597273527491495,53.10139926694944,A3,featured,Detached,UNBRANDED_AGENT
325000,4,2,230.0,3.0,-6.0597273527491495,53.10139926694944,A3,featured,Detached,UNBRANDED_AGENT
545000,4,2,133.0,16.0,-6.2297187,53.4450393,XXX,featured,Semi-D,BRANDED_AGENT
